Country,Name,Value
Ghana,Gold,87676
Ghana,Graphite,0
Ghana,Gypsum,0
Ghana,Iron,0
Ghana,Kaolin,0
Ghana,Lead,0
Ghana,Lithium,0
Ghana,Magnesite,0
Ghana,Manganese,934200
Ghana,Mercury,0
Ghana,Nat. Gas,3020
Ghana,Nickel,0
Ghana,Niobium,0
Ghana,Palladium,0
Ghana,Perlite,0
Ghana,Petroleum,7864300
Ghana,Phosphates,0
Ghana,Platinum,0
Ghana,Rare Earths,0
Ghana,Rhodium,0
Ghana,Salt,300000
Ghana,Silver,1000
Ghana,Steam Coal,0
Ghana,Sulfur,0
Ghana,Talc,0
Ghana,Tantalum,0
Ghana,Tin,0
Ghana,Titanium,0
Ghana,Tungsten,0
Ghana,Uranium,0
Ghana,Vanadium,0
Ghana,Vermiculite,0
Ghana,Zinc,0
Ghana,Zircon,0
Liberia,Aluminium,0
Liberia,Arsenic,0
Liberia,Baryte,0
Liberia,Bauxite,0
Liberia,Bentonite,0
Liberia,Beryllium,0
Liberia,Chromium,0
Liberia,Cobalt,0
Liberia,Coking Coal,0
Liberia,Copper,0
Liberia,Diam. (Gem),37820
Liberia,Diam. (Ind),25210
Liberia,Diatomite,0
Liberia,Feldspar,0
Liberia,Fluorspar,0
Liberia,Gold,7860
Liberia,Graphite,0
Liberia,Gypsum,0
Liberia,Iron,3000000
Liberia,Kaolin,0
Liberia,Lead,0
Liberia,Lithium,0
Liberia,Magnesite,0
Liberia,Manganese,0
Liberia,Mercury,0
Liberia,Nat. Gas,0
Liberia,Nickel,0
Liberia,Niobium,0
Liberia,Palladium,0
Liberia,Perlite,0
Liberia,Petroleum,0
Liberia,Phosphates,0
Liberia,Platinum,0
Liberia,Rare Earths,0
Liberia,Rhodium,0
Liberia,Salt,0
Liberia,Silver,0
Liberia,Steam Coal,0
Liberia,Sulfur,0
Liberia,Talc,0
Liberia,Tantalum,0
Liberia,Tin,0
Liberia,Titanium,0
Liberia,Tungsten,0
Liberia,Uranium,0
Liberia,Vanadium,0
Liberia,Vermiculite,0
Liberia,Zinc,0
Liberia,Zircon,0
Mali,Aluminium,0
Mali,Arsenic,0
Mali,Baryte,0
Mali,Bauxite,0
Mali,Bentonite,0
Mali,Beryllium,0
Mali,Chromium,0
Mali,Cobalt,0
Mali,Coking Coal,0
Mali,Copper,0
Mali,Diam. (Gem),0
Mali,Diam. (Ind),0
Mali,Diatomite,0
Mali,Feldspar,0
Mali,Fluorspar,0
Mali,Gold,69400
Mali,Graphite,0
Mali,Gypsum,0
Mali,Iron,0
Mali,Kaolin,0
Mali,Lead,0
Mali,Lithium,0
Mali,Magnesite,0
Mali,Manganese,0
Mali,Mercury,0
Mali,Nat. Gas,0
Mali,Nickel,0
Mali,Niobium,0
Mali,Palladium,0
Mali,Perlite,0
Mali,Petroleum,0
Mali,Phosphates,0
Mali,Platinum,0
Mali,Rare Earths,0
Mali,Rhodium,0
Mali,Salt,0
Mali,Silver,3000
Mali,Steam Coal,0
Mali,Sulfur,0
Mali,Talc,0
Mali,Tantalum,0
Mali,Tin,0
Mali,Titanium,0
Mali,Tungsten,0
Mali,Uranium,0
Mali,Vanadium,0
Mali,Vermiculite,0
Mali,Zinc,0
Mali,Zircon,0
Mauritania,Aluminium,0
Mauritania,Arsenic,0
Mauritania,Baryte,0
Mauritania,Bauxite,0
Mauritania,Bentonite,0
Mauritania,Beryllium,0
Mauritania,Chromium,0
Mauritania,Cobalt,0
Mauritania,Coking Coal,0
Mauritania,Copper,18846
Mauritania,Diam. (Gem),0
Mauritania,Diam. (Ind),0
Mauritania,Diatomite,0
Mauritania,Feldspar,0
Mauritania,Fluorspar,0
Mauritania,Gold,6499
Mauritania,Graphite,0
Mauritania,Gypsum,70000
Mauritania,Iron,8201700
Mauritania,Kaolin,0
Mauritania,Lead,0
Mauritania,Lithium,0
Mauritania,Magnesite,0
Mauritania,Manganese,0
Mauritania,Mercury,0
Mauritania,Nat. Gas,0
Mauritania,Nickel,0
Mauritania,Niobium,0
Mauritania,Palladium,0
Mauritania,Perlite,0
Mauritania,Petroleum,0
Mauritania,Phosphates,0
Mauritania,Platinum,0
Mauritania,Rare Earths,0
Mauritania,Rhodium,0
Mauritania,Salt,0
Mauritania,Silver,0
Mauritania,Steam Coal,0
Mauritania,Sulfur,0
Mauritania,Talc,0
Mauritania,Tantalum,0
Mauritania,Tin,0
Mauritania,Titanium,0
Mauritania,Tungsten,0
Mauritania,Uranium,0
Mauritania,Vanadium,0
Mauritania,Vermiculite,0
Mauritania,Zinc,0
Mauritania,Zircon,0
Niger,Aluminium,0
Niger,Arsenic,0
Niger,Baryte,0
Niger,Bauxite,0
Niger,Bentonite,0
Niger,Beryllium,0
Niger,Chromium,0
Niger,Cobalt,0
Niger,Coking Coal,0
Niger,Copper,0
Niger,Diam. (Gem),0
Niger,Diam. (Ind),0
Niger,Diatomite,0
Niger,Feldspar,0
Niger,Fluorspar,0
Niger,Gold,4010
Niger,Graphite,0
Niger,Gypsum,0
Niger,Iron,0
Niger,Kaolin,0
Niger,Lead,0
Niger,Lithium,0
Niger,Magnesite,0
Niger,Manganese,0
Niger,Mercury,0
Niger,Nat. Gas,0
Niger,Nickel,0
Niger,Niobium,0
Niger,Palladium,0
Niger,Perlite,0
Niger,Petroleum,873100
Niger,Phosphates,0
Niger,Platinum,0
Niger,Rare Earths,0
Niger,Rhodium,0
Niger,Salt,0
