Country,Name,Value
Congo D.R.,Tantalum,505
Congo D.R.,Tin,15750
Congo D.R.,Titanium,0
Congo D.R.,Tungsten,114
Congo D.R.,Uranium,0
Congo D.R.,Vanadium,0
Congo D.R.,Vermiculite,0
Congo D.R.,Zinc,16079
Congo D.R.,Zircon,0
Congo Rep,Aluminium,0
Congo Rep,Arsenic,0
Congo Rep,Baryte,0
Congo Rep,Bauxite,0
Congo Rep,Bentonite,0
Congo Rep,Beryllium,0
Congo Rep,Chromium,0
Congo Rep,Cobalt,0
Congo Rep,Coking Coal,0
Congo Rep,Copper,10300
Congo Rep,Diam. (Gem),0
Congo Rep,Diam. (Ind),4125
Congo Rep,Diatomite,0
Congo Rep,Feldspar,0
Congo Rep,Fluorspar,0
Congo Rep,Gold,150
Congo Rep,Graphite,0
Congo Rep,Gypsum,0
Congo Rep,Iron,0
Congo Rep,Kaolin,0
Congo Rep,Lead,0
Congo Rep,Lithium,0
Congo Rep,Magnesite,0
Congo Rep,Manganese,0
Congo Rep,Mercury,0
Congo Rep,Nat. Gas,1000
Congo Rep,Nickel,0
Congo Rep,Niobium,0
Congo Rep,Palladium,0
Congo Rep,Perlite,0
Congo Rep,Petroleum,13446000
Congo Rep,Phosphates,0
Congo Rep,Platinum,0
Congo Rep,Rare Earths,0
Congo Rep,Rhodium,0
Congo Rep,Salt,0
Congo Rep,Silver,0
Congo Rep,Steam Coal,0
Congo Rep,Sulfur,0
Congo Rep,Talc,0
Congo Rep,Tantalum,0
Congo Rep,Tin,0
Congo Rep,Titanium,0
Congo Rep,Tungsten,0
Congo Rep,Uranium,0
Congo Rep,Vanadium,0
Congo Rep,Vermiculite,0
Congo Rep,Zinc,4300
Congo Rep,Zircon,0
Gabon,Aluminium,0
Gabon,Arsenic,0
Gabon,Baryte,0
Gabon,Bauxite,0
Gabon,Bentonite,0
Gabon,Beryllium,0
Gabon,Chromium,0
Gabon,Cobalt,0
Gabon,Coking Coal,0
Gabon,Copper,0
Gabon,Diam. (Gem),0
Gabon,Diam. (Ind),0
Gabon,Diatomite,0
Gabon,Feldspar,0
